CGPA,Internship,Aptitude,Communication,Coding,Projects,Placed
6.4,0,82,57,83,6,Yes
8.3,0,78,62,94,7,Yes
5.0,1,66,47,95,5,Yes
7.7,1,48,91,65,2,Yes
9.4,0,69,97,89,1,Yes
8.9,0,84,82,99,7,Yes
7.8,1,82,58,76,5,Yes
8.4,1,47,97,89,0,Yes
8.7,0,90,50,57,3,Yes
8.5,0,88,71,57,3,Yes
8.9,1,58,85,42,2,Yes
5.1,1,49,97,88,3,Yes
6.0,1,47,43,70,5,Yes
5.3,0,73,49,89,0,Yes
7.0,0,80,47,54,5,Yes
8.8,0,45,97,82,7,Yes
8.8,1,83,64,41,1,Yes
6.9,0,67,61,91,2,Yes
7.4,0,41,53,52,6,No
6.0,1,98,79,72,4,Yes
9.3,0,92,44,41,8,Yes
8.1,0,99,97,40,1,Yes
8.6,1,81,57,82,7,Yes
8.7,0,61,97,82,1,Yes
6.0,0,71,43,82,6,Yes
9.8,0,92,81,88,5,Yes
9.3,0,41,45,53,6,Yes
9.2,1,70,73,79,1,Yes
7.1,1,65,100,87,0,Yes
8.0,1,79,52,48,5,Yes
7.5,1,50,43,43,7,Yes
9.4,1,58,49,79,2,Yes
8.1,0,62,62,84,5,Yes
9.4,1,85,98,81,4,Yes
5.5,1,67,56,85,5,Yes
7.0,0,62,90,62,3,Yes
9.2,0,75,43,58,7,Yes
5.6,0,62,61,80,6,Yes
7.3,1,41,43,88,3,Yes
8.8,0,86,51,64,1,Yes
7.5,0,47,98,58,7,Yes
7.3,0,50,57,55,0,No
6.1,0,52,41,63,6,No
8.9,0,64,97,89,4,Yes
5.4,1,63,71,70,5,Yes
9.1,0,44,80,77,6,Yes
5.5,0,66,84,77,6,Yes
5.7,1,100,90,80,0,Yes
8.8,1,51,64,88,3,Yes
5.3,0,97,84,96,8,Yes
6.2,0,43,70,58,8,Yes
8.1,0,40,91,70,7,Yes
7.2,1,86,49,51,2,Yes
9.6,1,85,91,45,8,Yes
5.1,0,89,94,71,7,Yes
7.4,0,57,84,92,7,Yes
5.7,0,53,62,52,8,Yes
6.3,1,52,66,84,1,Yes
9.2,0,87,51,44,4,Yes
8.2,1,65,46,57,0,Yes
9.2,1,49,49,78,1,Yes
5.2,1,62,93,55,5,Yes
8.1,0,53,73,45,3,Yes
9.0,0,67,66,46,3,Yes
7.6,1,74,75,94,5,Yes
8.9,0,45,98,58,7,Yes
6.8,1,78,86,40,6,Yes
7.2,0,57,56,53,5,Yes
5.5,1,62,68,88,7,Yes
5.5,1,65,70,55,3,Yes
8.8,1,80,47,46,1,Yes
9.4,1,56,95,70,5,Yes
9.1,0,65,47,89,1,Yes
7.0,1,100,91,81,8,Yes
6.4,0,96,96,49,2,Yes
6.3,0,44,53,79,0,No
5.6,0,83,86,47,6,Yes
6.1,0,76,83,44,5,Yes
8.2,0,62,64,85,4,Yes
5.3,0,79,88,66,6,Yes
7.7,0,97,62,63,2,Yes
9.6,1,93,68,85,4,Yes
9.2,0,61,91,40,4,Yes
9.2,1,74,93,64,3,Yes
7.8,0,84,66,43,6,Yes
7.8,1,64,50,80,6,Yes
5.1,0,80,98,66,8,Yes
8.4,0,92,77,61,0,Yes
6.1,1,87,93,49,8,Yes
5.1,0,96,79,47,4,Yes
6.7,0,83,75,95,7,Yes
5.4,0,76,98,53,7,Yes
8.5,0,67,61,60,8,Yes
9.2,1,93,87,71,1,Yes
9.4,0,82,83,76,1,Yes
7.3,0,69,63,73,4,Yes
9.9,1,66,73,78,1,Yes
5.0,1,46,58,90,7,Yes
6.8,1,56,79,63,2,Yes
8.8,1,62,49,85,4,Yes
7.8,0,50,83,44,4,Yes
7.9,0,43,61,54,6,Yes
5.7,0,53,88,65,4,Yes
8.9,0,60,79,79,8,Yes
5.3,0,49,73,49,8,Yes
7.2,0,63,75,88,0,Yes
7.5,0,53,94,86,7,Yes
5.4,1,57,54,78,1,Yes
8.8,0,63,94,73,5,Yes
7.6,1,46,49,89,1,Yes
5.1,1,54,42,71,4,Yes
6.3,0,58,57,52,0,No
7.8,1,84,67,70,4,Yes
9.4,1,42,91,80,7,Yes
8.9,1,86,68,67,7,Yes
6.5,0,64,45,79,2,Yes
8.4,1,76,52,95,8,Yes
6.4,0,54,59,75,2,Yes
5.1,0,72,41,74,8,Yes
6.9,0,87,96,91,8,Yes
5.2,1,46,85,79,2,Yes
5.0,1,55,82,60,6,Yes
9.6,0,60,53,50,3,Yes
6.3,0,62,61,41,7,Yes
8.7,1,63,73,73,6,Yes
7.7,1,92,61,80,6,Yes
5.6,0,52,68,85,4,Yes
5.8,0,49,73,58,8,Yes
6.1,0,99,99,80,4,Yes
7.5,0,91,48,62,7,Yes
9.3,0,51,54,65,0,Yes
9.6,0,54,66,56,6,Yes
9.8,0,97,88,51,8,Yes
9.3,1,73,47,47,3,Yes
6.3,0,59,54,60,0,No
9.3,0,48,79,98,1,Yes
8.1,0,57,96,82,6,Yes
7.2,1,42,56,54,8,Yes
6.5,0,52,100,87,0,Yes
6.0,1,64,85,79,3,Yes
7.0,0,59,66,42,1,No
7.5,0,43,83,50,2,Yes
9.0,0,70,91,50,2,Yes
6.4,0,86,94,53,2,Yes
7.4,1,81,58,50,8,Yes
5.6,1,100,99,43,8,Yes
9.0,0,58,96,95,7,Yes
9.4,1,94,61,80,1,Yes
5.4,1,82,72,89,3,Yes
7.8,1,80,48,43,1,Yes
7.3,0,73,50,46,4,Yes
6.9,0,70,92,76,5,Yes
5.9,1,96,52,43,2,Yes
9.1,0,99,73,70,0,Yes
6.2,1,41,45,80,6,Yes
6.5,0,61,61,83,0,Yes
9.3,0,61,50,72,7,Yes
9.6,1,49,56,45,6,Yes
9.5,1,77,40,75,3,Yes
9.7,0,89,94,73,3,Yes
8.7,1,51,88,40,3,Yes
6.2,0,80,95,40,3,Yes
7.2,0,93,48,72,7,Yes
8.7,0,89,86,97,7,Yes
5.3,0,45,67,51,4,No
8.0,1,66,56,79,2,Yes
8.2,0,89,86,48,6,Yes
6.1,1,67,99,67,4,Yes
5.6,0,59,85,60,8,Yes
5.2,0,60,90,68,4,Yes
7.4,0,59,92,71,4,Yes
8.8,0,88,55,69,8,Yes
8.8,0,73,64,90,3,Yes
5.5,1,55,81,97,2,Yes
7.9,0,70,61,95,3,Yes
5.4,1,98,41,71,7,Yes
6.7,0,81,87,74,7,Yes
8.9,0,87,63,77,6,Yes
7.4,1,42,85,98,2,Yes
8.6,0,78,55,74,0,Yes
9.8,0,42,73,53,3,Yes
9.5,0,47,42,82,2,Yes
6.5,0,73,77,52,3,Yes
7.3,1,66,84,46,1,Yes
5.1,0,54,42,59,1,No
5.2,0,65,66,60,3,Yes
5.3,0,61,98,83,5,Yes
7.5,1,53,96,96,2,Yes
7.0,0,52,63,75,8,Yes
8.7,0,56,57,96,0,Yes
9.0,1,80,65,42,5,Yes
7.8,1,44,72,52,4,Yes
7.1,1,67,62,69,6,Yes
7.8,1,93,93,62,2,Yes
6.0,0,57,94,74,7,Yes
8.1,1,99,67,60,5,Yes
5.7,0,59,90,52,2,Yes
8.6,0,89,69,92,3,Yes
7.9,0,54,44,62,8,Yes
7.3,1,57,69,66,8,Yes
7.0,1,64,56,51,4,Yes
8.4,1,67,62,73,0,Yes
8.9,1,86,78,75,1,Yes
5.8,0,89,98,72,1,Yes
8.4,1,81,55,86,3,Yes
8.2,1,51,83,46,7,Yes
9.2,1,94,40,41,6,Yes
7.9,0,57,40,87,5,Yes
5.9,0,54,84,43,4,Yes
6.8,1,81,95,69,1,Yes
7.3,0,96,44,100,8,Yes
8.2,1,94,86,45,6,Yes
6.2,1,79,92,43,6,Yes
6.5,0,57,100,82,0,Yes
9.2,1,91,99,41,0,Yes
9.8,1,99,85,99,0,Yes
6.4,1,47,52,86,5,Yes
5.2,1,90,58,80,3,Yes
6.3,1,87,71,82,6,Yes
7.1,1,71,41,61,5,Yes
6.9,0,51,100,48,1,Yes
8.5,0,65,100,58,8,Yes
8.4,0,41,75,78,8,Yes
9.0,1,55,93,93,0,Yes
7.9,0,92,40,71,3,Yes
5.3,0,72,48,59,2,No
7.4,1,67,58,49,0,Yes
8.3,1,53,78,83,2,Yes
7.0,0,48,97,88,1,Yes
9.3,1,88,42,56,4,Yes
6.1,0,74,80,73,0,Yes
7.5,1,59,42,62,1,Yes
6.7,1,55,46,65,2,Yes
9.5,0,43,47,63,5,Yes
7.4,0,83,40,49,6,Yes
6.1,1,49,94,57,2,Yes
7.2,0,93,82,80,3,Yes
8.1,1,42,58,58,5,Yes
8.0,1,95,81,93,3,Yes
8.4,1,44,57,45,5,Yes
5.1,0,48,70,76,2,Yes
5.2,1,42,45,58,6,No
5.1,0,90,57,82,3,Yes
5.2,1,57,45,91,8,Yes
9.7,1,97,48,80,4,Yes
7.2,1,57,63,98,0,Yes
6.1,0,97,80,69,0,Yes
8.8,1,59,89,66,1,Yes
6.5,0,70,46,45,6,Yes
9.3,1,90,95,41,7,Yes
5.4,0,57,98,99,1,Yes
6.8,0,66,100,81,6,Yes
7.3,1,93,76,93,3,Yes
6.4,1,80,60,75,2,Yes
5.9,0,65,79,77,2,Yes
7.3,1,100,76,72,5,Yes
6.4,1,40,94,53,2,Yes
8.6,0,84,68,83,8,Yes
8.5,0,98,95,58,2,Yes
5.4,0,60,81,61,2,Yes
5.5,0,87,70,62,7,Yes
5.5,1,68,98,92,3,Yes
8.9,0,88,46,78,4,Yes
6.0,1,44,68,58,4,Yes
9.9,1,84,47,86,2,Yes
8.6,0,71,93,56,5,Yes
7.4,1,55,51,65,3,Yes
7.1,0,89,52,89,6,Yes
5.1,0,78,80,86,1,Yes
9.3,1,56,49,97,0,Yes
7.5,0,68,52,87,6,Yes
8.3,0,91,68,40,2,Yes
7.8,1,84,81,82,7,Yes
9.9,0,42,55,83,3,Yes
9.8,1,56,41,86,4,Yes
6.6,1,77,87,89,5,Yes
9.0,1,46,95,41,1,Yes
7.8,1,56,51,50,0,No
5.2,0,75,64,93,3,Yes
8.0,1,100,76,64,2,Yes
8.0,0,52,95,73,7,Yes
6.7,1,93,87,54,3,Yes
6.3,0,95,56,88,0,Yes
6.7,1,65,77,76,7,Yes
7.8,0,96,52,53,8,Yes
9.7,0,77,87,44,5,Yes
9.4,0,42,68,94,8,Yes
8.7,1,59,100,74,1,Yes
8.7,1,66,88,55,4,Yes
5.4,1,92,80,98,5,Yes
7.8,1,69,61,43,0,Yes
9.1,1,53,89,95,8,Yes
6.8,0,43,51,98,4,Yes
6.4,0,86,77,59,6,Yes
8.0,1,41,75,88,0,Yes
6.2,1,42,43,87,5,Yes
7.9,0,76,85,60,3,Yes
5.4,1,85,78,64,4,Yes
7.3,0,60,43,98,3,Yes
5.8,1,67,66,97,2,Yes
5.7,0,41,57,87,2,Yes
7.8,0,91,63,80,5,Yes
7.0,0,43,51,55,4,No
5.5,1,87,79,100,7,Yes
10.0,1,90,79,91,7,Yes
9.5,0,75,96,100,0,Yes
7.0,0,100,72,59,0,Yes
5.8,0,45,46,40,2,No
9.8,1,94,58,74,7,Yes
9.1,0,93,48,81,7,Yes
6.7,0,100,48,54,4,Yes
9.9,0,47,42,81,2,Yes
7.3,1,86,95,84,5,Yes
7.3,0,53,52,67,3,Yes
8.8,1,72,91,97,4,Yes
5.6,1,65,60,99,4,Yes
5.7,0,46,73,99,1,Yes
5.3,1,41,83,43,2,No
5.9,0,76,47,69,6,Yes
9.0,0,72,62,73,3,Yes
7.7,1,50,97,50,4,Yes
8.4,1,100,95,88,2,Yes
7.9,0,88,57,48,4,Yes
8.5,1,99,80,60,6,Yes
9.3,1,87,56,95,7,Yes
7.6,1,78,55,96,4,Yes
6.1,1,96,58,66,7,Yes
9.6,1,69,89,61,7,Yes
6.5,1,52,88,53,2,Yes
9.5,0,77,72,72,3,Yes
9.6,0,83,56,99,0,Yes
5.1,0,92,51,62,3,Yes
5.6,1,95,57,87,6,Yes
8.3,1,96,46,52,2,Yes
6.3,0,78,68,97,7,Yes
9.6,1,77,82,94,8,Yes
7.1,0,94,66,64,6,Yes
9.5,1,40,87,93,4,Yes
9.1,0,60,67,90,7,Yes
7.0,0,57,48,71,4,Yes
6.3,1,90,71,58,4,Yes
7.6,0,97,100,42,6,Yes
7.1,1,48,65,83,2,Yes
6.1,0,96,85,77,8,Yes
5.1,0,42,67,76,0,No
6.9,1,40,80,52,5,Yes
5.5,0,99,53,43,2,Yes
8.2,1,51,69,64,3,Yes
9.0,1,90,42,84,7,Yes
9.3,0,52,81,44,3,Yes
8.7,1,72,94,56,7,Yes
6.3,0,68,55,91,8,Yes
5.5,0,73,96,93,3,Yes
7.9,1,64,48,67,8,Yes
7.9,1,60,90,99,1,Yes
7.2,0,83,93,93,6,Yes
7.6,1,78,79,53,0,Yes
6.9,1,77,78,44,1,Yes
8.6,0,95,75,84,7,Yes
8.0,0,53,65,72,5,Yes
9.5,1,49,54,69,3,Yes
8.5,0,92,76,61,7,Yes
9.7,0,99,82,79,3,Yes
8.8,0,43,53,55,2,No
7.6,0,46,64,74,8,Yes
9.8,0,64,60,77,6,Yes
8.4,1,76,52,81,7,Yes
8.4,0,96,45,81,2,Yes
7.3,1,55,56,59,0,Yes
7.6,1,73,76,47,5,Yes
6.7,0,41,55,47,6,No
9.9,1,58,54,91,5,Yes
6.6,1,42,94,76,6,Yes
5.4,1,75,46,86,0,Yes
8.9,0,71,81,76,3,Yes
6.5,1,70,61,42,3,Yes
9.3,0,80,95,88,1,Yes
9.5,0,82,96,81,2,Yes
8.2,0,64,96,81,6,Yes
8.0,0,56,82,49,5,Yes
7.2,1,93,54,83,3,Yes
6.9,0,46,77,65,0,Yes
6.9,0,46,50,72,4,Yes
8.3,0,59,74,97,1,Yes
5.3,1,65,94,84,1,Yes
9.7,1,63,90,72,5,Yes
6.3,0,87,97,51,6,Yes
9.2,1,47,95,100,8,Yes
7.2,0,66,66,56,0,Yes
8.1,0,66,77,98,3,Yes
8.0,1,92,92,57,4,Yes
6.8,1,51,76,100,0,Yes
8.4,0,51,50,42,4,No
9.0,1,94,90,81,6,Yes
5.1,0,66,49,50,7,Yes
7.0,1,82,55,45,0,Yes
7.2,1,46,82,42,0,Yes
7.5,1,70,93,60,7,Yes
8.0,1,87,44,73,3,Yes
7.0,0,84,83,54,7,Yes
6.2,1,66,97,83,6,Yes
6.7,1,49,87,79,1,Yes
8.8,0,51,91,64,2,Yes
6.6,1,41,43,83,7,Yes
7.1,1,67,48,99,3,Yes
7.3,1,78,64,78,1,Yes
9.1,0,81,84,79,1,Yes
9.2,1,60,61,94,7,Yes
7.8,0,70,86,90,2,Yes
9.8,0,73,69,69,7,Yes
8.5,1,96,58,90,6,Yes
7.1,0,85,92,70,8,Yes
6.5,0,56,46,44,7,No
6.9,0,60,95,98,7,Yes
7.2,1,88,50,51,5,Yes
8.3,1,56,53,75,1,Yes
9.8,1,97,62,59,5,Yes
9.2,1,41,54,65,4,Yes
5.4,1,77,76,87,4,Yes
5.2,0,46,54,65,2,No
5.6,1,44,78,87,7,Yes
8.7,0,75,68,65,8,Yes
7.0,0,58,44,82,1,Yes
7.4,1,78,91,74,2,Yes
8.2,1,41,59,69,6,Yes
6.8,0,69,97,75,1,Yes
5.1,0,69,90,64,3,Yes
7.7,1,69,87,90,1,Yes
6.4,1,56,52,95,5,Yes
5.2,0,74,95,78,5,Yes
7.5,1,56,68,96,0,Yes
9.1,0,57,99,96,5,Yes
9.1,1,66,61,88,1,Yes
6.3,1,65,48,91,6,Yes
7.2,1,70,95,71,7,Yes
6.8,1,49,96,60,3,Yes
6.5,0,86,91,63,4,Yes
9.7,1,78,60,74,5,Yes
8.9,0,86,99,83,6,Yes
7.0,1,86,96,62,2,Yes
8.6,0,52,96,94,3,Yes
8.4,0,87,64,78,6,Yes
5.1,1,64,72,98,4,Yes
9.3,1,84,83,69,0,Yes
6.4,0,41,46,89,1,No
9.6,0,58,96,68,3,Yes
5.2,0,84,50,48,2,No
5.8,1,79,88,57,0,Yes
8.4,1,43,93,84,0,Yes
6.9,0,78,61,62,1,Yes
8.4,1,62,41,49,4,Yes
6.0,0,74,58,72,8,Yes
5.1,1,95,41,98,6,Yes
8.6,1,41,92,64,3,Yes
7.4,0,64,63,56,3,Yes
7.0,0,77,44,69,0,Yes
9.0,1,41,96,54,6,Yes
7.9,0,47,81,83,1,Yes
9.7,0,75,66,69,5,Yes
6.9,0,87,98,62,7,Yes
7.9,0,61,93,80,1,Yes
6.1,0,74,66,87,3,Yes
9.1,1,43,67,42,4,Yes
5.5,0,81,84,79,2,Yes
8.4,0,97,96,49,2,Yes
8.6,1,61,75,83,7,Yes
5.8,1,98,85,91,3,Yes
7.6,0,56,95,98,2,Yes
5.2,0,100,84,59,0,Yes
5.0,0,74,84,82,5,Yes
5.5,0,57,74,55,5,Yes
5.9,0,95,63,82,4,Yes
5.4,1,68,57,96,1,Yes
9.2,1,95,85,96,2,Yes
7.0,0,79,97,87,1,Yes
7.0,1,73,74,83,5,Yes
7.0,0,81,53,96,2,Yes
9.3,0,55,64,92,1,Yes
8.0,1,44,60,89,0,Yes
6.8,0,53,91,61,3,Yes
9.4,0,64,66,92,8,Yes
8.6,1,84,45,57,8,Yes
6.2,1,42,60,45,8,Yes
6.2,0,83,73,69,5,Yes
9.3,1,80,71,49,6,Yes
6.8,1,43,63,65,7,Yes
6.5,0,55,87,77,3,Yes
5.1,0,42,74,79,3,Yes
9.3,0,78,63,87,3,Yes
5.6,0,93,66,82,0,Yes
8.6,0,86,42,41,7,Yes
7.5,0,51,69,40,8,Yes
9.8,1,58,41,77,6,Yes
9.3,1,80,80,87,5,Yes
9.6,0,72,46,64,7,Yes
5.3,1,63,46,99,4,Yes
8.1,1,83,60,82,5,Yes
5.0,0,90,77,52,3,Yes
5.6,0,42,99,94,1,Yes
8.8,1,80,61,71,7,Yes
7.8,1,45,81,85,2,Yes
9.4,0,50,55,71,2,Yes
5.6,0,89,73,95,5,Yes
8.0,1,72,78,68,8,Yes
5.8,0,40,53,74,1,No
6.8,1,57,47,84,6,Yes
6.8,0,44,64,53,2,No
8.3,1,71,86,63,3,Yes
6.1,0,41,66,58,8,Yes
6.1,1,48,43,47,1,No
5.1,1,75,56,59,5,Yes
8.1,0,48,83,90,2,Yes
9.4,1,89,46,67,3,Yes
5.1,0,49,99,99,1,Yes
5.1,1,75,83,58,1,Yes
8.4,0,59,91,42,3,Yes
9.0,0,82,48,79,4,Yes
7.4,0,61,79,41,1,Yes
6.5,0,78,71,63,8,Yes
7.7,0,74,61,50,5,Yes
6.4,1,79,67,87,1,Yes
6.1,0,72,70,61,4,Yes
9.8,0,79,49,79,0,Yes
7.2,1,52,46,65,6,Yes
5.3,0,68,85,68,5,Yes
6.3,1,84,47,94,5,Yes
7.1,1,44,64,63,3,Yes
5.6,1,99,59,98,8,Yes
9.1,1,52,94,70,4,Yes
6.6,0,48,83,72,6,Yes
5.0,0,70,49,69,0,No
5.8,0,98,44,50,4,Yes
6.7,1,83,75,92,1,Yes
9.2,0,56,40,67,2,Yes
6.6,0,99,63,61,1,Yes
7.3,1,47,50,62,3,Yes
7.9,0,82,54,95,5,Yes
9.2,1,55,64,99,4,Yes
6.0,0,49,89,41,4,Yes
9.6,0,80,76,56,3,Yes
5.9,1,93,97,69,1,Yes
9.6,0,78,94,66,5,Yes
10.0,0,61,91,54,0,Yes
5.8,0,81,72,55,5,Yes
5.9,1,59,75,80,5,Yes
7.1,0,71,55,97,2,Yes
8.5,0,46,95,73,6,Yes
5.2,1,91,83,47,2,Yes
7.8,0,99,52,63,7,Yes
10.0,1,89,83,48,4,Yes
8.3,1,83,52,87,5,Yes
9.2,0,89,44,65,3,Yes
6.9,1,87,98,52,1,Yes
8.5,1,40,94,69,7,Yes
5.8,0,67,96,84,0,Yes
8.7,1,80,76,70,6,Yes
7.6,0,62,46,95,2,Yes
6.8,1,64,49,93,3,Yes
6.4,1,61,42,52,0,No
8.3,1,40,46,100,4,Yes
9.5,1,96,85,58,1,Yes
7.6,0,80,82,85,7,Yes
6.2,1,95,64,72,0,Yes
5.5,0,84,47,65,3,Yes
8.0,1,43,80,89,3,Yes
9.0,0,85,88,74,3,Yes
9.5,0,97,88,43,0,Yes
9.3,1,57,56,86,4,Yes
8.6,1,88,44,43,2,Yes
8.5,0,86,63,99,2,Yes
8.4,0,79,54,66,8,Yes
9.9,1,48,82,93,1,Yes
7.4,0,80,63,40,6,Yes
5.4,1,81,46,92,3,Yes
8.9,1,56,86,59,7,Yes
5.7,0,76,75,65,1,Yes
6.7,1,60,44,44,1,No
9.0,0,52,67,56,8,Yes
6.9,1,43,66,76,2,Yes
7.9,0,60,87,84,6,Yes
9.9,1,94,60,77,6,Yes
7.2,1,49,45,63,3,Yes
5.3,0,61,70,98,4,Yes
7.8,1,41,48,87,2,Yes
5.3,1,65,74,45,8,Yes
10.0,0,98,62,81,6,Yes
6.7,1,99,67,85,7,Yes
8.2,0,79,63,66,8,Yes
7.4,0,75,89,58,5,Yes
9.1,0,73,64,96,5,Yes
8.6,1,65,94,68,3,Yes
5.6,0,60,89,70,3,Yes
8.6,1,55,40,91,4,Yes
8.7,1,42,88,52,4,Yes
5.5,0,60,97,41,6,Yes
9.3,1,43,41,56,6,Yes
8.9,0,100,43,81,6,Yes
5.3,0,48,61,52,0,No
9.1,0,56,43,42,3,No
6.6,0,43,75,59,1,No
7.6,1,100,68,63,7,Yes
9.9,0,59,70,94,7,Yes
8.5,1,69,80,81,6,Yes
9.8,0,73,59,71,3,Yes
5.4,1,88,95,76,8,Yes
7.6,0,81,45,55,0,Yes
7.7,1,64,81,78,0,Yes
5.8,1,86,81,100,8,Yes
6.4,0,82,57,99,3,Yes
5.5,0,98,59,100,3,Yes
6.3,1,94,42,77,6,Yes
5.2,1,71,74,79,4,Yes
7.2,0,87,79,72,3,Yes
7.1,0,57,94,96,5,Yes
7.2,1,75,70,82,2,Yes
9.8,0,44,51,49,3,Yes
5.6,0,61,91,42,6,Yes
5.4,1,62,92,56,7,Yes
5.4,1,70,88,74,6,Yes
9.8,1,79,97,89,5,Yes
5.3,0,44,44,74,6,No
7.2,1,52,80,99,1,Yes
9.6,0,81,58,89,2,Yes
5.1,1,48,40,74,1,No
9.5,1,98,67,60,3,Yes
8.8,1,72,70,91,0,Yes
5.2,0,93,75,59,1,Yes
6.3,0,52,59,78,4,Yes
6.6,0,58,72,45,5,Yes
8.8,1,65,73,49,6,Yes
5.2,0,67,71,45,7,Yes
7.7,1,52,55,41,5,Yes
6.7,1,84,65,67,7,Yes
8.8,0,98,95,93,6,Yes
9.9,1,51,86,64,8,Yes
5.4,1,58,85,84,2,Yes
8.3,1,94,49,74,1,Yes
7.3,1,44,40,90,2,Yes
8.1,0,91,73,70,6,Yes
6.3,1,40,58,71,1,Yes
6.6,1,49,45,54,7,Yes
7.9,0,67,87,81,4,Yes
7.0,0,47,88,43,3,Yes
5.0,0,40,90,65,3,Yes
9.2,1,40,60,53,6,Yes
9.4,1,55,61,43,8,Yes
9.4,1,73,84,48,6,Yes
5.2,0,74,61,89,3,Yes
5.3,1,96,57,52,1,Yes
8.7,0,93,93,71,4,Yes
9.2,1,76,64,99,6,Yes
8.2,0,59,49,98,0,Yes
7.2,1,47,44,82,5,Yes
8.0,1,54,67,51,4,Yes
8.1,0,67,84,40,0,Yes
6.5,1,93,57,82,1,Yes
8.7,0,83,95,47,5,Yes
7.3,1,53,65,56,6,Yes
6.8,0,84,53,75,1,Yes
8.9,0,48,47,40,7,Yes
9.4,0,62,44,70,6,Yes
9.6,0,93,67,91,7,Yes
6.2,1,42,93,49,8,Yes
9.3,1,89,54,64,7,Yes
9.4,1,99,79,64,3,Yes
7.6,0,100,75,40,3,Yes
7.9,1,77,76,59,4,Yes
9.1,0,83,49,47,3,Yes
8.2,0,45,93,40,5,Yes
6.1,1,44,54,84,8,Yes
9.6,1,90,86,75,6,Yes
7.6,0,68,95,68,2,Yes
5.2,1,94,99,44,3,Yes
8.3,1,61,52,62,4,Yes
8.8,1,88,91,46,3,Yes
6.4,1,45,88,60,0,Yes
6.7,1,93,77,89,2,Yes
5.7,0,76,47,66,8,Yes
7.1,1,86,90,97,4,Yes
7.9,1,70,79,63,3,Yes
8.0,0,66,73,48,6,Yes
6.4,0,51,100,64,6,Yes
9.9,1,61,88,100,1,Yes
6.3,1,80,55,100,8,Yes
7.9,0,65,57,63,1,Yes
5.8,1,72,75,88,3,Yes
9.6,0,61,100,75,3,Yes
8.0,0,70,93,43,0,Yes
5.7,0,57,58,70,8,Yes
9.6,0,67,98,64,8,Yes
9.8,0,85,74,66,4,Yes
6.7,1,59,45,60,5,Yes
9.1,0,40,56,47,4,Yes
8.9,1,55,98,51,3,Yes
7.7,0,47,46,70,6,Yes
9.9,0,46,51,91,4,Yes
7.4,0,49,93,67,1,Yes
8.9,1,79,52,59,2,Yes
8.8,1,49,45,93,7,Yes
7.9,0,90,68,74,8,Yes
8.3,0,60,72,97,8,Yes
5.8,0,96,89,96,6,Yes
8.8,0,82,54,40,0,Yes
5.0,1,100,53,42,5,Yes
7.5,1,40,78,55,2,Yes
9.0,1,98,68,98,4,Yes
5.7,0,51,50,84,3,Yes
5.6,1,44,90,50,5,Yes
9.1,1,89,73,99,4,Yes
5.2,0,50,60,69,7,Yes
5.7,0,86,55,98,8,Yes
7.3,0,59,65,71,6,Yes
5.8,0,57,90,95,2,Yes
7.6,1,86,67,81,4,Yes
5.1,0,59,64,70,1,No
8.3,1,60,79,100,6,Yes
8.3,1,62,88,89,3,Yes
7.3,1,94,46,96,7,Yes
8.5,0,59,50,82,3,Yes
8.2,0,41,75,98,7,Yes
7.8,1,52,90,74,2,Yes
6.3,1,44,75,47,7,Yes
7.1,0,58,95,70,6,Yes
9.9,0,76,80,44,1,Yes
6.4,1,78,91,62,0,Yes
7.3,1,85,42,73,3,Yes
8.5,0,98,94,99,2,Yes
8.7,1,68,43,45,6,Yes
9.7,1,49,47,58,5,Yes
6.9,1,76,82,40,2,Yes
5.3,0,57,48,51,8,No
6.4,1,90,84,68,4,Yes
7.6,0,83,65,93,8,Yes
8.9,1,61,64,94,2,Yes
9.0,0,83,98,76,3,Yes
5.8,0,67,65,94,4,Yes
8.2,1,87,41,59,5,Yes
6.7,0,44,50,48,4,No
10.0,1,42,91,87,0,Yes
7.6,0,71,44,61,1,Yes
8.1,1,92,48,55,3,Yes
7.8,1,48,77,58,7,Yes
7.3,1,44,41,63,7,Yes
5.5,1,46,83,40,3,Yes
9.8,0,57,50,81,5,Yes
7.1,1,60,44,98,5,Yes
8.8,0,91,64,68,1,Yes
8.4,1,97,40,52,3,Yes
7.2,0,66,70,65,0,Yes
7.2,1,42,100,64,1,Yes
9.5,1,67,70,71,3,Yes
8.1,0,82,81,93,0,Yes
5.3,1,63,90,52,4,Yes
6.5,1,82,92,50,4,Yes
5.1,1,61,63,62,4,Yes
6.1,0,52,75,94,2,Yes
7.1,0,40,82,98,4,Yes
7.5,1,83,86,49,5,Yes
8.2,1,41,79,60,8,Yes
7.2,0,53,94,84,0,Yes
8.2,0,67,89,48,5,Yes
8.7,1,44,50,100,0,Yes
9.0,1,45,80,54,6,Yes
6.1,0,82,49,75,8,Yes
6.3,1,81,44,74,5,Yes
8.7,0,41,78,75,3,Yes
5.7,0,79,66,47,7,Yes
8.7,0,75,83,49,4,Yes
6.0,0,56,98,100,6,Yes
7.3,0,62,81,95,2,Yes
9.6,0,60,50,77,1,Yes
5.4,0,94,55,67,8,Yes
9.5,0,92,73,94,7,Yes
6.8,0,97,90,98,7,Yes
7.7,0,50,84,48,6,Yes
7.4,1,91,48,74,3,Yes
6.2,1,99,71,52,4,Yes
9.5,0,53,52,77,5,Yes
5.7,1,63,64,51,0,No
8.5,1,81,89,54,3,Yes
